ITEMID|ROWNUM
18014|1
22063|2
16710|3
18500|4
20446|5
18085|6
21121|7
21698|8
16655|9
15628|10
19424|11
21712|12
19857|13
21246|14
20670|15
15066|16
16936|17
19183|18
19293|19
21904|20
21933|21
19233|22
21955|23
15907|24
17686|25
18622|26
21637|27
16266|28
16707|29
20307|30
20308|31
22041|32
22098|33
22177|34
17619|35
21714|36
17768|37
19219|38
21606|39
21614|40
14990|41
17083|42
17449|43
18414|44
21076|45
21202|46
21597|47
21727|48
22073|49
15935|50
15946|51
16817|52
15977|53
19234|54
17510|55
15708|56
17677|57
20713|58
19165|59
21659|60
15521|61
21046|62
14888|63
17871|64
15016|65
19753|66
21045|67
15109|68
16029|69
19022|70
19251|71
19747|72
20304|73
21583|74
21587|75
21680|76
21927|77
22042|78
22152|79
22157|80
22227|81
22270|82
16759|83
16771|84
17225|85
20877|86
19749|87
17713|88
21598|89
14922|90
21023|91
21870|92
17147|93
22267|94
16924|95
21436|96
14896|97
19274|98
15041|99
15162|100
15772|101
16818|102
17114|103
17602|104
21313|105
21984|106
21991|107
15100|108
15233|109
18115|110
20010|111
20347|112
22158|113
15237|114
16109|115
16984|116
17196|117
17308|118
17317|119
18581|120
18680|121
19564|122
20588|123
16441|124
19244|125
8503|126
21896|127
16812|128
20609|129
21343|130
16558|131
21412|132
9041|133
14144|134
15076|135
16760|136
19893|137
21970|138
15106|139
19709|140
20488|141
21925|142
19485|143
18136|144
21014|145
22120|146
20111|147
18775|148
11095|149
15261|150
15447|151
17051|152
18299|153
18312|154
21038|155
21129|156
22111|157
19945|158
15212|159
19923|160
21311|161
15009|162
15471|163
17921|164
17984|165
18288|166
20214|167
20260|168
20798|169
16989|170
18349|171
19737|172
21015|173
21369|174
20737|175
20724|176
21778|177
20727|178
20985|179
19862|180
16396|181
20288|182
17054|183
20129|184
21269|185
15994|186
16195|187
16730|188
19656|189
14980|190
21483|191
15343|192
20633|193
16050|194
16635|195
17076|196
18998|197
20016|198
16120|199
20561|200
15059|201
17360|202
20397|203
21523|204
21847|205
21951|206
15683|207
18809|208
20200|209
17985|210
16407|211
16966|212
19704|213
19770|214
21047|215
21967|216
20454|217
20315|218
18495|219
18743|220
16096|221
21482|222
14959|223
22237|224
17976|225
6405|226
19842|227
20176|228
20312|229
20938|230
21012|231
19762|232
19974|233
15361|234
16511|235
19636|236
15768|237
16697|238
20250|239
20255|240
20767|241
21621|242
22093|243
22110|244
15789|245
18147|246
19145|247
21869|248
16637|249
19148|250
20146|251
21549|252
8327|253
17810|254
18318|255
19599|256
15069|257
15939|258
17983|259
21957|260
17824|261
18523|262
18670|263
19100|264
19134|265
15084|266
7780|267
18095|268
19120|269
19982|270
20300|271
17426|272
21892|273
19869|274
20541|275
21863|276
15778|277
20421|278
15819|279
17495|280
21477|281
15234|282
15397|283
16309|284
16387|285
16559|286
17692|287
18971|288
19642|289
19937|290
22199|291
19252|292
15318|293
19038|294
21256|295
16015|296
16785|297
16963|298
17010|299
17832|300
18962|301
19018|302
17369|303
19003|304
15263|305
15703|306
17427|307
19492|308
21050|309
21473|310
15128|311
17096|312
5607|313
20291|314
21604|315
17315|316
17385|317
18688|318
19172|319
19587|320
20083|321
20646|322
21811|323
21840|324
22025|325
10635|326
20703|327
18996|328
17345|329
21272|330
16442|331
17870|332
21800|333
15419|334
20194|335
22161|336
18338|337
18672|338
16066|339
20254|340
9003|341
12087|342
15092|343
15587|344
15614|345
15669|346
15923|347
16121|348
16180|349
16245|350
16605|351
16722|352
17060|353
20285|354
15793|355
15816|356
15905|357
17837|358
18601|359
19744|360
19772|361
20636|362
21142|363
17760|364
15117|365
15139|366
15444|367
15696|368
16941|369
17964|370
18330|371
18498|372
18722|373
18814|374
18816|375
19850|376
20173|377
20593|378
20640|379
20909|380
21397|381
22196|382
14999|383
18175|384
19678|385
20802|386
20716|387
15112|388
15207|389
15270|390
15893|391
16609|392
16630|393
16651|394
17222|395
17234|396
17717|397
17774|398
18391|399
18826|400
19019|401
21362|402
21385|403
21660|404
21694|405
21813|406
21853|407
21867|408
21932|409
19456|410
16154|411
20001|412
22195|413
21702|414
18100|415
19107|416
21502|417
17230|418
18418|419
18823|420
17124|421
17280|422
17291|423
18902|424
19710|425
20368|426
20494|427
17028|428
19639|429
20765|430
17277|431
18352|432
19028|433
20690|434
15871|435
20120|436
17104|437
17732|438
21558|439
16214|440
19273|441
18607|442
21665|443
15719|444
16864|445
16892|446
18186|447
20816|448
14917|449
21922|450
17396|451
15147|452
18530|453
22168|454
9403|455
16259|456
17723|457
19395|458
20650|459
5478|460
15310|461
16163|462
18064|463
18455|464
18705|465
19329|466
17020|467
17468|468
18936|469
17570|470
18723|471
17258|472
20470|473
18065|474
18690|475
17927|476
8014|477
19566|478
21441|479
18351|480
20524|481
15325|482
19986|483
16350|484
19004|485
18467|486
18944|487
22219|488
21310|489
21690|490
15290|491
15841|492
19658|493
16780|494
18336|495
20319|496
19394|497
16510|498
18130|499
20958|500
4882|501
19892|502
15698|503
16729|504
15649|505
20534|506
8185|507
9417|508
15617|509
15121|510
16720|511
15762|512
7481|513
18698|514
20121|515
20522|516
22166|517
19652|518
21521|519
15331|520
16162|521
6539|522
19213|523
16197|524
16859|525
17269|526
17958|527
18583|528
19536|529
21742|530
18287|531
15663|532
7772|533
13106|534
17282|535
20295|536
19114|537
16244|538
17226|539
20046|540
20643|541
22229|542
13935|543
18298|544
20656|545
20949|546
20997|547
15057|548
21897|549
15552|550
18609|551
21388|552
12479|553
15562|554
18856|555
21908|556
22265|557
15732|558
11959|559
21250|560
19972|561
17351|562
19781|563
20436|564
19841|565
17701|566
15001|567
13030|568
21701|569
18353|570
20554|571
14427|572
16010|573
18758|574
16577|575
17068|576
16229|577
18090|578
20916|579
20290|580
16890|581
19484|582
20128|583
19049|584
21167|585
19420|586
6314|587
16260|588
18104|589
17435|590
20945|591
18174|592
20251|593
21463|594
17859|595
19442|596
18796|597
