ROWNUMBER|ITEMID|TITLEFULL
1|18962|Night of the Living Dead
2|15343|The Believer
3|15139|The Apple Dumpling Gang Rides Again
4|20081|Silent Warnings
5|21224|Wishcraft
6|16046|The Concert for New York City
7|20424|The Sugarland Express
8|20254|The Specials
9|20534|Tank
10|20652|Thunderheart
11|20476|Sweet Hearts Dance
12|19004|Normal Life
13|19018|Nothing in Common
14|20656|The Tie That Binds
15|21047|The War
16|21604|Family Business
17|5478|Because of Winn-Dixie
18|17602|The Hustler
19|22168|American Me
20|20016|Shattered
21|15663|Bringing Out the Dead
22|16184|Cutaway
23|20554|Teaching Mrs. Tingle
24|19862|Sands of Iwo Jima
25|16244|Darkman
26|16924|Forever Young
27|20958|Vanishing Point
28|21015|Wagons East
29|5607|Arthur 2: On the Rocks
30|17345|Harlem Nights
31|18690|Mixed Nuts
32|15325|Bedazzled
33|17647|Ice from the Sun
34|15905|The Cherokee Kid
35|16120|Cradle 2 the Grave
36|17308|Hamburger Hill
37|17561|How to Make a Monster
38|17921|Jump Tomorrow
39|18338|Losing Isaiah
40|19464|Prom Night
41|17498|Hondo
42|15683|Brown Sugar
43|11116|Raja Hindustani
44|19869|Sarfarosh
45|19834|The Safety of Objects
46|13070|Fist of Fear, Touch of Death
47|20300|Stanley & Iris
48|15016|Alien Nation
49|19484|Pumpkin
50|21583|Edward Scissorhands
51|22152|Working Girl
52|15562|Body of Evidence
53|21712|I, Robot
54|17916|Judy Berlin
55|19390|Posse
56|13106|Wasted
57|19273|Perfect Opposites
58|16655|Entrapment
59|21463|Boogeyman
60|20019|She Fought Alone
61|18722|Monkey Trouble
62|19935|Seconds
63|20250|Spartan
64|17984|Khakee
65|21272|The Work and the Glory
66|18356|The Lost World
67|15649|Bride of Re-Animator
68|15825|Casual Sex?
69|19550|Raining Stones
70|18936|New York, New York
71|19636|Renaissance Man
72|20588|Testament
73|18455|Main Hoon Na
74|21840|Mommie Dearest
75|15893|The Cheap Detective
76|18370|Love Is All There Is
77|18796|Ms .45
78|18147|The Last Shot
79|18856|My Family
80|20949|Vampires: Los Muertos
81|15146|Are We There Yet?
82|19572|Raptor
83|17871|Jersey Girl
84|20183|Socha Na Tha
85|21614|Final Analysis
86|19656|Return from Witch Mountain
87|15041|Amadeus
88|16699|Excellent Cadavers
89|18816|Muppets from Space
90|20308|Star Trek: Insurrection
91|21980|Scarface
92|21894|Pandora and the Flying Dutchman
93|19172|Outside Providence
94|19904|Scenes of the Crime
95|21598|The Faculty
96|20724|Top Secret!
97|7398|Knots
98|19772|Roommates
99|21829|Medium Cool
100|21957|Robin and Marian
101|21825|The Mating Habits of the Earthbound Human
102|19658|The Return of Swamp Thing
103|18115|Lara Croft Tomb Raider: The Cradle of Life
104|19639|The Replacements
105|8737|More American Graffiti
106|20802|Trixie
107|16818|The Final Cut
108|18008|The Killing of a Chinese Bookie
109|16697|Evolution
110|18090|Lady Jane
111|17291|Hair
112|16864|Flaming Star
113|15009|Ali G Indahouse
114|22195|Foxfire
115|15212|Babe
116|19293|The Petrified Forest
117|16637|Encino Man
118|19145|Other Peoples Money
119|17832|Jackass: The Movie
120|22111|Two Mules for Sister Sara
121|14896|2 Days in the Valley
122|18136|The Last House on the Left
123|21436|Beverly Hills Cop II
124|15069|American Virgin
125|21473|Bowfinger
126|17315|Hanging Up
127|20942|Vamp
128|21441|The Big Empty
129|16245|Darkman II: The Return of Durant
130|22237|The Ring
131|20173|Snow Day
132|21714|The Ice Storm
133|15994|Coach Carter
134|17723|Incognito
135|20441|Sunset Strip
136|17732|The Indian Runner
137|14922|50 First Dates
138|14999|Airheads
139|19485|Punch-Drunk Love
140|17449|High Crimes
141|21412|The Aviator
142|22042|Star Trek: First Contact
143|18287|Lizzie McGuire
144|18288|The Lizzie McGuire Movie
145|15318|Beautiful Girls
146|17385|Hearts in Atlantis
147|21313|You Can Count on Me
148|17958|Kanal
149|18826|Murder in Greenwich
150|15263|The Banger Sisters
151|21343|Zelary
152|15147|Are You Being Served?
153|17566|How to Stuff a Wild Bikini
154|20524|Tales of the City
155|15117|Annie
156|21050|The Warrior and the Sorceress
157|17701|In Too Deep
158|17288|Habitat
159|18688|Mister Roberts
