USERID|ROWNUM
984093|1
984177|2
984602|3
984860|4
984877|5
984908|6
985111|7
985624|8
985882|9
985992|10
986083|11
986365|12
986411|13
987007|14
987174|15
987471|16
987780|17
988093|18
988108|19
988383|20
988476|21
988770|22
988838|23
989639|24
989698|25
989827|26
989907|27
990009|28
990391|29
990830|30
991378|31
991505|32
991521|33
991581|34
992111|35
992299|36
992755|37
992966|38
993334|39
993395|40
993536|41
993893|42
994515|43
994618|44
994744|45
994988|46
995232|47
995255|48
995282|49
995294|50
995804|51
996150|52
996350|53
996731|54
996826|55
997095|56
997496|57
997812|58
997836|59
997911|60
997924|61
998397|62
998469|63
998583|64
998890|65
999115|66
999156|67
999339|68
999435|69
999740|70
999899|71
1000005|72
1000136|73
1000255|74
1000323|75
1000478|76
1000733|77
1000764|78
1000899|79
1001277|80
1001491|81
1001542|82
1001833|83
1001928|84
1001992|85
1002459|86
1002473|87
1002695|88
1002879|89
1003954|90
1004092|91
1004096|92
1004199|93
1004306|94
1004676|95
1004690|96
1004852|97
1005915|98
1005947|99
1006292|100
1006386|101
1006968|102
1007021|103
1007033|104
1007733|105
1007786|106
1008172|107
1008352|108
1008670|109
1009028|110
1009161|111
1009206|112
1009402|113
1009719|114
1010357|115
1010395|116
1010399|117
1010569|118
1010733|119
1010740|120
1011351|121
1011387|122
1011506|123
1011525|124
1012187|125
1012252|126
1012412|127
1013499|128
1013508|129
1013577|130
1013725|131
1013945|132
1013958|133
1014099|134
1014309|135
1014383|136
1014603|137
1014723|138
1014912|139
1015657|140
1015807|141
1016312|142
1016360|143
1016838|144
1016980|145
1017111|146
1017131|147
1017196|148
1017312|149
1017327|150
1017369|151
1017919|152
1017920|153
1018101|154
1018693|155
1018703|156
1019461|157
1019603|158
1019969|159
1020038|160
1020352|161
1020825|162
1021098|163
1021945|164
1021960|165
1022200|166
1022373|167
1022408|168
1022440|169
1022479|170
1022614|171
1022773|172
1023162|173
1023180|174
1023184|175
1023217|176
1023220|177
1023301|178
1023352|179
1023477|180
1023580|181
1023696|182
1023759|183
1023949|184
1023959|185
1024653|186
1024844|187
1024935|188
1025636|189
1026041|190
1026391|191
1026473|192
1026526|193
1026598|194
1027461|195
1027487|196
1027565|197
1027732|198
1027919|199
1028306|200
1028872|201
1028931|202
1029099|203
1029179|204
1029217|205
1029858|206
1029938|207
1030012|208
1030051|209
1030397|210
1030466|211
1030683|212
1030785|213
1030803|214
1030844|215
1031069|216
1031359|217
1031446|218
1031540|219
1032026|220
1032206|221
1032939|222
1033102|223
1033335|224
1033607|225
1033668|226
1033800|227
1034052|228
1034062|229
1034600|230
1034647|231
1034651|232
1034859|233
1034865|234
1035022|235
1035130|236
1035481|237
1036266|238
1036280|239
1036717|240
1036885|241
1036975|242
1036994|243
1037121|244
1037226|245
1037255|246
1037395|247
1037892|248
1037941|249
1038225|250
1038555|251
1038800|252
1039846|253
1039961|254
1040199|255
1040725|256
1041654|257
1041818|258
1041971|259
1042160|260
1043154|261
1043284|262
1043313|263
1043484|264
1043734|265
1043837|266
1043951|267
1043992|268
1044374|269
1044521|270
1044814|271
1046626|272
1046707|273
1046909|274
1047014|275
1047165|276
1047344|277
